Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Id
GET,/advice,23,0,320.0,360.137434780051,307.27639999531675,901.0582999908365,89.73913043478261,0.27182555540772696,0.0,320,360,360,360,380,420,900,900,900,900,900,1
GET,/advice,10,0,360.0,406.171790001099,312.52569999196567,965.962699992815,78.1,0.31508246163581904,0.0,360,360,360,360,970,970,970,970,970,970,970,2
GET,/advice,9,1,330.0,380.3249666654867,147.1056000009412,950.9633999987273,66.55555555555556,0.28892347412299413,0.03210260823588824,330,330,340,370,950,950,950,950,950,950,950,3
